
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001782                       # Number of seconds simulated (Second)
system.cpu.numStoreInsts                       341513                       # Number of stores executed (Count)
system.cpu.numRate                           3.179386                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             381                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           13039                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                     2515852                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                       4205021                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               0.708409                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          0.708409                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               1.411615                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          1.411615                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                    7862307                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                   4530979                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                       52488                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                      52978                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                     3243581                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                    2341543                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                   2250458                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads         514754                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        392347                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        30356                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        22661                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
