
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000493                       # Number of seconds simulated (Second)
system.cpu.branchPred.RASIncorrect                  2                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             452                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 24                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              428                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          123                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1950542                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts             57698                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples      1623737                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     2.589718                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.876319                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0          608165     37.45%     37.45% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          172273     10.61%     48.06% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          209236     12.89%     60.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3          127731      7.87%     68.82% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          143607      8.84%     77.66% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           31723      1.95%     79.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           69629      4.29%     83.90% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7           10718      0.66%     84.56% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          250655     15.44%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total      1623737                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              2515852                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                4205021                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                      657291                       # Number of memory references committed (Count)
system.cpu.commit.loads                        376821                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     513039                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                      99847                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                     4171310                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                  8376                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass        28914      0.69%      0.69% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu      3518115     83.66%     84.35% # Class of committed instruction (Count)
