
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001493                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::total       14510917                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.429050                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              194879                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.013430                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 10881537                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                 2518440                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses         2495604                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                  24221195                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                 12003496                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses         11995940                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                     2496761                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                     12207582                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numInsts                          14508033                       # Number of executed instructions (Count)
system.cpu.numLoadInsts                       2640900                       # Number of load instructions executed (Count)
system.cpu.numSquashedInsts                      2884                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.numNop                                   0                       # Number of nop insts executed (Count)
system.cpu.numRefs                            2774837                       # Number of memory reference insts executed (Count)
system.cpu.numBranches                         298766                       # Number of branches executed (Count)
system.cpu.numStoreInsts                       133937                       # Number of stores executed (Count)
system.cpu.numRate                           2.428567                       # Inst execution rate ((Count/Cycle))
